,id,carat,cut,color,clarity,depth,table,x,y,z,price
3914,3914,0.51,Very Good,G,VS2,62.2,57.0,5.1,5.13,3.18,1438
8618,8618,0.31,Ideal,H,SI1,61.6,54.0,4.37,4.4,2.7,489
1419,1419,1.5,Very Good,E,SI2,63.1,56.0,7.22,7.25,4.57,8097
1103,1103,1.5,Premium,I,VS2,60.1,60.0,7.39,7.35,4.42,7773
11450,11450,1.0,Ideal,E,SI2,62.5,55.0,6.38,6.41,4.0,4459
10819,10819,1.01,Very Good,J,SI2,62.1,60.0,6.4,6.43,3.98,3534
7348,7348,0.34,Ideal,F,VS2,62.6,57.0,4.46,4.43,2.79,855
10113,10113,0.7,Ideal,E,VS2,61.5,58.0,5.69,5.75,3.52,2840
1558,1558,1.16,Ideal,G,SI1,62.6,55.0,6.76,6.71,4.21,6301
6018,6018,0.41,Very Good,F,VS2,62.7,58.0,4.72,4.75,2.97,829
12700,12700,0.34,Ideal,E,SI1,61.3,57.0,4.53,4.51,2.76,722
14134,14134,0.5,Ideal,I,SI1,61.8,57.0,5.09,5.11,3.15,1142
14306,14306,0.31,Premium,H,VS1,58.8,59.0,4.47,4.44,2.63,675
3523,3523,0.9,Very Good,D,SI1,61.9,59.0,6.13,6.15,3.8,4116
4542,4542,0.32,Premium,G,VS2,61.3,58.0,4.48,4.44,2.73,720
34,34,0.41,Ideal,D,VS1,62.9,54.0,4.73,4.76,2.98,1067
3400,3400,0.26,Ideal,H,VS1,61.8,54.0,4.11,4.14,2.54,407
14029,14029,0.34,Ideal,F,VVS2,62.3,58.0,4.49,4.47,2.79,814
6302,6302,0.34,Good,D,VS2,63.1,55.0,4.47,4.49,2.83,787
12143,12143,0.23,Very Good,E,VVS1,61.2,59.0,3.95,3.98,2.43,499
6423,6423,0.5,Very Good,H,VVS2,63.5,58.0,5.04,5.1,3.21,1436
14267,14267,1.22,Ideal,H,SI1,62.4,57.0,6.85,6.79,4.26,7357
2652,2652,0.3,Ideal,H,VVS1,61.5,56.0,4.36,4.34,2.67,819
5513,5513,1.0,Very Good,F,SI1,63.5,57.0,6.36,6.31,4.02,4984
9152,9152,0.53,Very Good,J,VS2,62.1,58.0,5.19,5.21,3.23,1166
11741,11741,0.3,Premium,G,VS1,61.7,58.0,4.28,4.31,2.65,776
13190,13190,0.74,Ideal,H,SI1,61.2,57.0,5.8,5.83,3.56,2165
6375,6375,1.01,Fair,F,SI1,64.7,54.0,6.34,6.24,4.08,4355
11384,11384,0.4,Premium,G,VVS2,62.0,59.0,4.67,4.7,2.91,902
292,292,0.5,Premium,H,SI1,62.0,59.0,5.05,5.02,3.11,1094
2836,2836,0.31,Ideal,G,IF,62.2,56.0,4.35,4.33,2.69,872
10585,10585,0.24,Ideal,G,VVS1,61.7,57.0,4.0,4.05,2.48,559
7012,7012,1.73,Ideal,G,VS2,62.2,57.0,7.72,7.65,4.78,15948
11173,11173,0.32,Ideal,E,VS2,62.0,56.0,4.35,4.32,2.68,900
2870,2870,1.55,Ideal,I,SI1,62.4,60.0,7.34,7.37,4.59,8575
8833,8833,1.24,Premium,G,VS2,60.8,58.0,6.99,6.93,4.24,8915
6648,6648,1.04,Ideal,F,SI2,62.0,55.0,6.55,6.49,4.04,3674
6740,6740,0.39,Ideal,G,VVS2,62.4,57.0,4.65,4.68,2.91,1097
11334,11334,0.3,Ideal,G,VS2,61.6,55.0,4.34,4.32,2.67,596
8404,8404,1.11,Ideal,H,SI2,61.8,55.0,6.64,6.65,4.11,4664
7092,7092,0.42,Premium,D,VS2,61.1,58.0,4.81,4.83,2.94,825
7551,7551,0.79,Ideal,G,SI2,62.4,55.0,5.9,5.92,3.69,2185
1318,1318,1.08,Ideal,F,VVS2,61.1,56.0,6.66,6.58,4.04,9894
2730,2730,1.5,Premium,H,VS1,60.5,58.0,7.3,7.34,4.41,11368
9878,9878,1.22,Very Good,G,VS1,60.3,58.0,6.92,6.97,4.2,8743
13875,13875,2.01,Very Good,I,SI1,63.1,55.0,8.07,8.0,5.07,13912
14347,14347,0.51,Ideal,E,VS2,62.2,56.0,5.1,5.14,3.19,1656
4879,4879,0.72,Premium,D,SI1,60.4,60.0,5.87,5.82,3.52,3048
10078,10078,0.44,Very Good,G,SI1,59.4,59.0,4.95,4.97,2.97,791
11044,11044,0.34,Ideal,H,SI1,62.1,56.0,4.46,4.5,2.78,477
11034,11034,0.4,Good,E,SI1,63.1,58.0,4.71,4.67,2.96,702
13217,13217,1.0,Good,G,SI2,63.6,56.0,6.36,6.31,4.02,3875
2228,2228,1.54,Premium,H,VS2,62.1,59.0,7.38,7.31,4.57,10619
7795,7795,1.09,Premium,G,SI1,60.2,58.0,6.68,6.64,4.02,5234
4418,4418,1.61,Ideal,I,SI1,62.5,55.0,7.47,7.49,4.66,9262
9079,9079,1.5,Ideal,J,SI1,62.3,56.0,7.27,7.32,4.56,7244
6087,6087,0.55,Very Good,F,VS2,62.9,57.0,5.19,5.21,3.27,1555
9966,9966,0.3,Premium,D,VS2,62.5,59.0,4.28,4.26,2.67,710
8565,8565,0.9,Premium,H,SI1,61.8,51.0,6.19,6.24,3.84,3545
6431,6431,0.55,Ideal,G,VS2,60.8,56.0,5.37,5.33,3.25,1550
356,356,0.7,Very Good,H,VS2,61.0,59.0,5.69,5.72,3.48,2512
11792,11792,0.43,Premium,G,VVS2,62.1,58.0,4.81,4.83,2.99,1185
10796,10796,0.4,Premium,G,VVS2,62.6,58.0,4.73,4.69,2.95,1103
12472,12472,1.51,Very Good,H,SI2,62.9,57.0,7.22,7.27,4.56,7219
9778,9778,0.78,Good,F,VS1,58.2,61.0,5.94,5.99,3.51,3140
4584,4584,0.3,Very Good,I,VVS1,59.2,59.0,4.31,4.35,2.56,608
837,837,0.4,Very Good,E,SI1,60.8,61.0,4.74,4.76,2.88,772
266,266,1.02,Ideal,E,SI2,61.8,54.0,6.49,6.43,3.99,3674
2006,2006,0.26,Ideal,H,VS1,61.6,55.0,4.14,4.16,2.54,436
12436,12436,0.33,Ideal,G,IF,61.2,55.0,4.46,4.49,2.74,946
10479,10479,0.43,Ideal,H,VVS2,61.3,56.0,4.88,4.91,3.0,943
2362,2362,0.33,Ideal,G,IF,61.6,56.0,4.48,4.44,2.75,954
8538,8538,0.51,Very Good,E,SI1,63.2,57.0,5.07,5.1,3.22,1368
9421,9421,1.17,Premium,G,SI2,61.7,58.0,6.78,6.74,4.16,5387
11916,11916,1.02,Fair,F,SI1,64.6,57.0,6.27,6.32,4.07,4872
12591,12591,0.9,Good,G,SI2,63.2,58.0,6.19,6.13,3.89,3548
10308,10308,0.3,Very Good,H,IF,62.9,56.0,4.28,4.31,2.7,764
14000,14000,0.52,Ideal,G,VVS2,61.4,55.0,5.19,5.21,3.2,1911
826,826,0.9,Very Good,F,SI1,62.3,59.0,6.14,6.17,3.83,3833
11850,11850,0.3,Ideal,E,VVS2,62.0,58.0,4.27,4.31,2.66,615
4253,4253,0.3,Ideal,J,VS1,62.3,57.0,4.29,4.32,2.68,506
5657,5657,0.57,Ideal,D,SI1,61.9,55.0,5.36,5.3,3.3,1847
12898,12898,1.01,Ideal,H,SI1,62.2,55.0,6.44,6.4,4.0,5387
11900,11900,1.6,Premium,I,VS1,60.9,59.0,7.64,7.61,4.63,10147
1441,1441,0.75,Premium,E,SI1,58.5,60.0,5.97,6.0,3.51,3267
3066,3066,1.04,Ideal,D,VVS2,61.9,57.0,6.5,6.51,4.03,10967
11625,11625,0.7,Ideal,H,SI2,63.4,57.0,5.61,5.56,3.55,2142
2748,2748,0.32,Ideal,E,VS2,61.8,55.0,4.45,4.41,2.74,900
7583,7583,0.51,Ideal,E,VS2,61.8,55.0,5.15,5.18,3.19,1656
10599,10599,0.31,Ideal,F,VS2,60.5,55.0,4.38,4.42,2.66,583
3061,3061,0.35,Premium,H,VS2,62.7,58.0,4.48,4.51,2.82,491
889,889,0.51,Ideal,D,SI1,61.8,55.0,5.15,5.18,3.19,1687
13021,13021,1.5,Good,D,SI2,63.6,59.0,7.31,7.22,4.61,10302
12126,12126,1.22,Premium,G,VS1,62.1,58.0,6.88,6.79,4.25,8558
6398,6398,0.36,Ideal,E,VS1,62.0,56.0,4.56,4.6,2.84,852
1963,1963,0.9,Premium,I,SI2,62.7,59.0,6.03,5.98,3.78,3703
3125,3125,1.22,Premium,G,SI2,60.9,60.0,6.88,6.91,4.19,5433
5502,5502,0.76,Premium,G,VS1,59.1,60.0,5.94,5.88,3.5,3353
5702,5702,0.87,Ideal,D,SI1,62.0,56.0,6.07,6.13,3.78,3664
1127,1127,0.4,Ideal,G,SI1,62.9,56.0,4.72,4.73,2.97,900
13802,13802,0.3,Premium,H,VVS2,62.5,56.0,4.29,4.26,2.67,776
11405,11405,0.3,Premium,D,VS2,60.6,59.0,4.35,4.32,2.63,610
13030,13030,1.69,Very Good,H,VS2,63.3,59.0,7.59,7.6,4.79,12644
9394,9394,0.31,Very Good,G,VS2,62.0,54.0,4.38,4.41,2.72,507
5942,5942,1.09,Premium,D,SI2,60.5,59.0,6.65,6.66,4.02,5151
7021,7021,0.58,Ideal,E,VS2,61.9,55.0,5.34,5.4,3.32,1929
7636,7636,0.64,Ideal,D,VS1,62.0,56.0,5.53,5.56,3.44,2276
1543,1543,0.38,Ideal,D,VVS2,62.4,54.0,4.68,4.64,2.9,997
3263,3263,0.35,Premium,G,VVS2,62.6,59.0,4.45,4.47,2.79,965
11042,11042,0.71,Premium,D,SI1,62.5,58.0,5.71,5.68,3.56,2612
9445,9445,0.32,Premium,H,VVS1,62.2,58.0,4.38,4.37,2.72,936
2268,2268,1.06,Ideal,E,SI2,61.7,57.0,6.58,6.55,4.05,5319
7879,7879,0.5,Very Good,E,SI2,61.6,54.0,5.08,5.12,3.15,1252
6575,6575,0.3,Premium,G,VS1,61.5,58.0,4.29,4.31,2.65,776
7749,7749,1.31,Premium,G,VS1,61.6,58.0,7.01,6.97,4.3,10685
132,132,0.9,Very Good,E,SI2,60.3,56.0,6.25,6.28,3.78,3854
9039,9039,1.3,Ideal,G,VS1,62.4,57.0,6.95,6.99,4.35,9920
12777,12777,0.7,Very Good,J,SI1,63.2,61.0,5.59,5.62,3.54,1844
603,603,0.56,Premium,D,SI1,61.9,57.0,5.29,5.28,3.26,1815
14101,14101,0.31,Very Good,H,VS1,60.6,61.0,4.4,4.38,2.66,544
843,843,1.05,Very Good,I,VS1,63.0,56.0,6.49,6.45,4.07,4579
393,393,0.33,Ideal,F,VVS2,61.7,56.0,4.46,4.42,2.74,1040
13258,13258,0.36,Very Good,D,SI1,61.4,59.0,4.61,4.63,2.83,626
13783,13783,0.3,Premium,E,VS2,61.3,60.0,4.25,4.23,2.59,844
7201,7201,0.5,Premium,E,SI2,62.4,59.0,5.12,5.09,3.18,1179
4989,4989,1.0,Good,D,SI2,63.8,53.0,6.34,6.39,4.07,4313
3928,3928,0.32,Ideal,E,VS2,61.9,55.0,4.42,4.4,2.73,900
6485,6485,1.2,Fair,H,SI2,64.9,58.0,6.54,6.51,4.24,5611
6820,6820,1.01,Ideal,E,SI1,60.5,57.0,6.49,6.54,3.94,5366
12559,12559,1.0,Very Good,E,SI2,62.4,59.0,6.38,6.35,3.97,3871
7716,7716,1.51,Premium,I,VVS2,59.2,62.0,7.47,7.44,4.41,10065
6557,6557,0.9,Very Good,H,VS1,60.0,53.0,6.28,6.31,3.77,4840
2277,2277,0.79,Ideal,E,VS2,62.4,56.0,5.93,5.9,3.68,3172
11669,11669,0.31,Ideal,F,VVS2,62.9,57.0,4.32,4.28,2.71,802
3234,3234,1.07,Ideal,G,SI1,61.9,57.0,6.56,6.59,4.06,5189
11846,11846,0.53,Ideal,D,SI1,61.9,56.0,5.21,5.24,3.23,1759
3498,3498,1.02,Good,F,VVS1,63.4,56.0,6.33,6.36,4.02,9301
8140,8140,1.06,Very Good,G,VS1,59.3,57.0,6.65,6.71,3.96,6817
4613,4613,0.36,Premium,E,VS2,61.4,59.0,4.56,4.61,2.82,958
6562,6562,0.52,Ideal,G,VVS2,61.5,56.0,5.18,5.21,3.19,1919
10514,10514,1.51,Ideal,I,VS1,62.6,56.0,7.33,7.27,4.57,8847
401,401,0.52,Ideal,E,VS2,61.8,56.0,5.1,5.16,3.17,1689
11857,11857,0.31,Ideal,F,VS2,62.1,56.0,4.33,4.35,2.7,627
8332,8332,1.51,Very Good,H,VS1,62.5,59.0,7.33,7.32,4.57,12196
6597,6597,0.52,Ideal,D,VS2,59.8,57.0,5.29,5.24,3.15,1779
10240,10240,0.26,Ideal,F,VS2,61.6,55.0,4.08,4.11,2.53,484
11090,11090,0.71,Ideal,F,SI1,62.4,55.0,5.71,5.74,3.57,2567
4680,4680,0.72,Very Good,E,VS2,62.2,59.0,5.68,5.72,3.55,2913
5008,5008,1.01,Premium,F,SI2,62.5,61.0,6.37,6.32,3.96,4017
9252,9252,0.5,Premium,G,VS1,58.3,61.0,5.23,5.19,3.04,1253
3403,3403,1.16,Ideal,G,VVS1,62.6,55.0,6.72,6.69,4.21,10411
6685,6685,0.38,Ideal,G,SI1,62.2,54.0,4.64,4.67,2.9,855
3883,3883,0.57,Very Good,D,VS2,62.0,60.0,5.27,5.32,3.28,1749
12177,12177,0.23,Very Good,E,VVS2,63.2,58.0,3.89,3.86,2.45,465
11091,11091,0.3,Ideal,E,VS2,62.4,55.0,4.31,4.31,2.69,658
8292,8292,0.76,Ideal,I,SI1,62.6,57.0,5.83,5.8,3.64,2329
13859,13859,1.0,Premium,F,SI2,61.9,59.0,6.38,6.42,3.97,7286
1573,1573,0.52,Very Good,G,VVS2,61.8,59.0,5.18,5.15,3.19,2013
13839,13839,1.23,Premium,F,VS1,61.8,58.0,6.89,6.92,4.26,10327
9716,9716,1.7,Premium,H,VS2,61.2,62.0,7.65,7.6,4.68,13445
2423,2423,1.01,Very Good,F,SI2,62.6,56.0,6.38,6.42,4.01,4678
9088,9088,0.52,Ideal,D,VS1,62.3,55.0,5.13,5.15,3.2,1701
5264,5264,1.11,Ideal,H,SI1,62.3,55.0,6.65,6.67,4.15,5236
6508,6508,1.51,Very Good,E,SI2,60.8,57.0,7.32,7.36,4.46,8731
7903,7903,0.51,Ideal,G,VS2,60.6,57.0,5.18,5.21,3.15,1446
7267,7267,0.28,Very Good,F,VVS2,61.7,56.0,4.19,4.23,2.61,633
12956,12956,1.51,Premium,I,SI1,59.5,61.0,7.44,7.38,4.43,7708
13096,13096,0.54,Very Good,F,VVS2,60.5,58.0,5.24,5.28,3.19,2012
11809,11809,1.51,Ideal,F,VS2,62.5,57.0,7.3,7.35,4.58,13681
10871,10871,0.91,Good,E,SI1,63.3,61.0,6.1,6.19,3.89,4355
12532,12532,0.31,Premium,E,SI1,59.8,59.0,4.46,4.49,2.67,544
14428,14428,1.5,Very Good,G,VS2,59.9,63.0,7.31,7.39,4.39,11189
809,809,0.32,Ideal,G,VVS2,62.2,55.0,4.37,4.39,2.73,936
10635,10635,1.04,Ideal,H,VS2,62.5,57.0,6.43,6.48,4.04,4926
2650,2650,1.0,Premium,G,VS1,62.7,58.0,6.4,6.33,3.99,6730
7841,7841,1.01,Premium,F,VS2,61.5,59.0,6.47,6.42,3.95,5946
14434,14434,0.31,Ideal,H,VS2,61.7,56.0,4.34,4.36,2.68,518
11265,11265,1.52,Good,E,VS2,63.6,60.0,7.23,7.26,4.62,14165
3190,3190,1.02,Premium,F,SI1,62.2,58.0,6.47,6.42,3.99,4992
3620,3620,1.02,Very Good,D,SI1,61.8,56.0,6.5,6.47,4.01,5921
1702,1702,0.72,Premium,F,VS2,61.1,59.0,5.79,5.76,3.53,2862
14157,14157,1.2,Premium,I,SI1,62.9,58.0,6.78,6.7,4.23,5405
6167,6167,0.45,Very Good,I,VVS1,63.0,58.0,4.83,4.87,3.06,736
3650,3650,0.25,Ideal,F,VS2,62.1,55.0,4.0,4.05,2.5,452
13614,13614,0.28,Ideal,I,IF,62.0,57.0,4.21,4.24,2.62,593
13912,13912,0.3,Ideal,F,VVS1,62.5,57.0,4.26,4.3,2.68,868
7197,7197,1.41,Premium,G,VS2,62.4,60.0,7.28,7.2,4.52,11248
12230,12230,0.79,Very Good,E,VS2,62.9,57.0,5.93,5.96,3.71,3457
3370,3370,1.66,Ideal,G,VS2,61.2,57.0,7.62,7.66,4.66,13853
13617,13617,0.71,Ideal,I,SI1,62.1,55.0,5.7,5.74,3.55,2326
7968,7968,0.91,Ideal,G,SI1,62.5,56.0,6.13,6.18,3.85,4193
11847,11847,0.54,Ideal,E,VS2,59.9,57.0,5.3,5.26,3.16,1655
9839,9839,1.52,Ideal,H,SI1,62.3,55.0,7.34,7.37,4.58,10487
8981,8981,1.02,Premium,G,VS2,59.4,58.0,6.48,6.51,3.87,5999
10774,10774,1.51,Ideal,I,VVS2,62.1,57.0,7.34,7.38,4.57,11475
12630,12630,0.38,Premium,D,SI1,60.0,58.0,4.76,4.71,2.83,629
12522,12522,0.25,Ideal,F,VS2,62.1,56.0,4.04,4.08,2.52,426
9858,9858,0.77,Ideal,I,VVS2,61.7,55.0,5.95,5.91,3.67,2874
6307,6307,0.31,Premium,G,SI2,60.1,61.0,4.4,4.44,2.66,369
664,664,0.26,Very Good,E,VVS1,61.7,58.0,4.08,4.11,2.53,620
9994,9994,2.09,Very Good,G,SI2,60.4,62.0,8.21,8.25,4.99,18445
8665,8665,0.56,Ideal,E,SI2,60.7,57.0,5.34,5.31,3.24,1206
13915,13915,0.4,Good,H,VS2,63.7,55.0,4.66,4.69,2.98,718
8063,8063,1.0,Very Good,I,SI2,60.3,63.0,6.45,6.41,3.88,3578
5259,5259,0.36,Ideal,E,VVS2,61.3,55.0,4.6,4.63,2.83,842
3347,3347,1.14,Ideal,H,SI2,62.0,54.0,6.67,6.75,4.16,4999
1568,1568,0.44,Very Good,E,VVS2,60.6,57.0,4.9,4.94,2.99,1867
462,462,0.3,Ideal,G,VS1,62.3,56.0,4.32,4.29,2.68,624
743,743,0.4,Ideal,D,SI2,61.9,56.0,4.75,4.78,2.95,653
222,222,1.56,Good,D,VS2,61.6,58.0,7.52,7.48,4.62,15231
9486,9486,0.5,Ideal,D,SI1,61.6,56.0,5.13,5.15,3.16,1417
3994,3994,0.41,Ideal,F,VVS1,61.9,55.0,4.79,4.77,2.96,1356
1979,1979,1.71,Premium,G,VS2,60.9,60.0,7.79,7.7,4.72,15619
7199,7199,0.31,Very Good,G,SI1,63.2,56.0,4.29,4.31,2.72,593
625,625,0.42,Ideal,E,VS1,62.1,55.0,4.8,4.82,2.99,1153
10291,10291,1.01,Good,F,SI1,64.3,58.0,6.3,6.25,4.03,4274
8842,8842,0.41,Ideal,D,SI1,62.4,54.0,4.73,4.77,2.97,1017
6746,6746,1.2,Very Good,G,SI1,63.4,58.0,6.65,6.72,4.24,5699
11595,11595,0.33,Premium,G,VS1,61.6,58.0,4.4,4.43,2.72,666
344,344,0.5,Premium,E,SI1,62.6,61.0,5.12,5.08,3.18,1303
11118,11118,0.35,Ideal,F,VVS1,61.5,56.0,4.59,4.56,2.81,1074
9297,9297,0.72,Ideal,G,VS1,61.2,59.0,5.77,5.75,3.53,2989
4449,4449,1.52,Premium,H,SI2,62.3,59.0,7.29,7.35,4.56,7413
2280,2280,1.55,Premium,G,VS2,62.0,60.0,7.32,7.46,4.57,12843
456,456,0.3,Ideal,G,VS1,61.9,57.0,4.29,4.32,2.66,605
11620,11620,0.51,Premium,G,VS2,60.9,58.0,5.16,5.2,3.15,1588
8900,8900,0.6,Ideal,G,VVS2,62.0,56.0,5.41,5.44,3.36,2302
4335,4335,0.51,Very Good,F,VS1,60.5,58.0,5.17,5.22,3.14,1778
2621,2621,1.5,Premium,E,SI2,62.1,59.0,7.31,7.27,4.52,10483
9430,9430,0.9,Good,F,SI2,63.3,59.0,6.09,6.12,3.86,3992
14291,14291,0.3,Ideal,H,IF,62.1,57.0,4.28,4.31,2.66,814
13268,13268,0.35,Ideal,D,VS2,61.4,56.0,4.53,4.56,2.79,711
5375,5375,1.04,Ideal,G,VS2,61.8,56.0,6.5,6.55,4.03,6587
8935,8935,0.3,Ideal,F,VVS1,61.9,57.0,4.28,4.32,2.67,742
13958,13958,1.17,Good,I,SI1,63.9,58.0,6.69,6.63,4.26,5535
5114,5114,1.0,Good,F,VS2,59.2,62.0,6.52,6.56,3.87,6487
9219,9219,0.92,Ideal,F,SI2,61.6,55.0,6.26,6.29,3.87,3782
5212,5212,1.0,Ideal,E,VS2,62.3,57.0,6.39,6.35,3.96,6272
9840,9840,1.51,Very Good,F,VS2,59.2,60.0,7.42,7.46,4.41,11924
1760,1760,0.7,Premium,D,SI1,60.4,59.0,5.78,5.74,3.49,2509
842,842,0.46,Premium,E,VVS2,62.6,59.0,4.95,4.88,3.07,1337
12726,12726,0.34,Premium,E,SI2,61.2,59.0,4.48,4.44,2.73,376
12296,12296,1.31,Ideal,H,SI1,60.8,57.0,7.11,7.07,4.32,7368
6076,6076,0.54,Ideal,F,SI1,61.0,57.0,5.24,5.27,3.21,1326
5199,5199,0.41,Ideal,G,SI2,62.6,57.0,4.74,4.71,2.96,683
4803,4803,0.82,Ideal,F,VS1,61.9,57.0,5.97,6.04,3.72,4221
2902,2902,0.31,Premium,F,VVS1,61.8,58.0,4.37,4.33,2.69,904
11406,11406,2.0,Premium,H,SI1,60.0,58.0,8.18,8.12,4.89,14863
8779,8779,0.58,Ideal,F,VS2,61.6,56.0,5.38,5.42,3.32,2300
9552,9552,0.9,Good,F,SI1,63.7,58.0,6.11,6.15,3.9,3819
8778,8778,0.51,Ideal,E,VVS2,61.6,56.0,5.11,5.15,3.16,2237
6884,6884,1.06,Ideal,E,VS2,62.1,55.0,6.49,6.54,4.04,6673
10497,10497,1.01,Premium,E,SI1,62.2,60.0,6.42,6.38,3.98,5624
9100,9100,0.36,Premium,F,SI1,60.7,59.0,4.64,4.61,2.8,631
7767,7767,0.71,Good,F,SI1,63.3,57.0,5.57,5.61,3.55,2331
3431,3431,0.3,Very Good,G,VVS2,62.9,59.0,4.24,4.28,2.68,617
13660,13660,0.42,Ideal,G,VVS1,61.9,57.0,4.76,4.8,2.96,1250
12433,12433,1.54,Premium,E,SI1,60.1,58.0,7.5,7.45,4.47,11175
13227,13227,0.56,Very Good,G,VS1,62.9,55.0,5.26,5.3,3.33,1804
5547,5547,0.7,Very Good,E,SI1,59.7,59.0,5.77,5.82,3.46,2404
7838,7838,1.5,Good,H,SI2,59.9,65.0,7.37,7.41,4.42,8107
11757,11757,0.32,Ideal,H,VS2,61.4,56.0,4.42,4.44,2.72,648
4725,4725,0.34,Very Good,D,VS2,60.0,57.0,4.51,4.56,2.72,696
7403,7403,0.33,Ideal,G,VS2,61.9,56.0,4.43,4.4,2.74,579
5130,5130,0.54,Ideal,F,VS2,61.0,58.0,5.25,5.27,3.2,1621
7649,7649,0.57,Ideal,G,VS1,62.1,55.0,5.39,5.35,3.34,1740
12879,12879,0.32,Ideal,D,VS2,62.4,57.0,4.36,4.39,2.73,758
5860,5860,0.7,Ideal,H,VVS1,62.0,56.0,5.68,5.71,3.53,3162
12508,12508,0.3,Premium,D,VS2,62.4,58.0,4.31,4.28,2.68,710
8824,8824,1.01,Fair,G,SI1,64.7,55.0,6.33,6.25,4.06,4132
12512,12512,0.71,Premium,E,VS2,62.8,59.0,5.67,5.63,3.55,3243
10336,10336,0.41,Premium,D,SI2,61.3,58.0,4.8,4.76,2.94,876
368,368,0.31,Premium,E,SI1,61.8,58.0,4.36,4.33,2.69,544
13777,13777,1.16,Ideal,I,SI1,62.6,56.0,6.67,6.7,4.16,4871
3593,3593,1.51,Premium,J,VS1,60.4,60.0,7.46,7.43,4.51,7848
1415,1415,0.4,Very Good,E,SI1,62.9,56.0,4.7,4.72,2.97,882
7779,7779,0.3,Very Good,G,SI1,60.5,59.0,4.35,4.38,2.64,447
7559,7559,0.9,Ideal,G,VS2,62.7,56.0,6.15,6.09,3.84,4093
14367,14367,0.36,Ideal,F,VS1,61.8,54.0,4.6,4.55,2.83,842
7964,7964,1.13,Premium,F,VS2,61.9,59.0,6.63,6.66,4.12,7900
6338,6338,1.09,Premium,G,SI2,60.9,58.0,6.63,6.58,4.03,4578
5990,5990,1.0,Ideal,D,SI1,62.4,55.0,6.44,6.38,4.0,5698
13211,13211,0.34,Premium,F,VS2,60.5,58.0,4.5,4.54,2.73,796
9003,9003,0.32,Ideal,H,SI1,62.3,55.0,4.38,4.4,2.74,461
1721,1721,1.01,Premium,D,SI1,59.2,58.0,6.61,6.57,3.89,5708
8534,8534,0.33,Very Good,E,VVS2,61.6,56.0,4.44,4.48,2.74,849
5324,5324,1.06,Premium,G,VS2,61.6,58.0,6.49,6.53,4.01,4459
4060,4060,0.93,Very Good,H,SI2,62.7,58.0,6.21,6.25,3.9,3435
13964,13964,0.42,Ideal,E,VVS2,62.0,57.0,4.81,4.83,2.99,1332
1824,1824,0.4,Ideal,G,SI1,62.1,57.0,4.71,4.64,2.91,700
10186,10186,1.02,Ideal,E,VS2,62.2,55.0,6.44,6.48,4.02,6956
7250,7250,1.53,Ideal,D,SI1,61.8,57.0,7.37,7.41,4.56,12823
11650,11650,1.26,Premium,G,VVS2,61.5,59.0,6.97,6.91,4.27,10392
12608,12608,0.6,Fair,E,SI1,66.1,56.0,5.43,5.34,3.45,2000
3232,3232,1.3,Very Good,H,SI1,62.3,55.0,6.97,7.01,4.35,7294
1918,1918,2.02,Premium,I,VS2,61.9,58.0,8.14,8.02,4.99,17455
13445,13445,0.78,Very Good,D,SI2,62.5,56.0,5.85,5.89,3.66,2915
1569,1569,1.51,Premium,J,VVS1,60.4,59.0,7.4,7.36,4.47,11113
1831,1831,1.01,Ideal,G,VS1,62.4,56.0,6.38,6.41,3.99,7862
347,347,0.3,Ideal,I,SI1,61.5,56.0,4.34,4.38,2.68,394
1242,1242,0.71,Premium,H,SI2,61.5,58.0,5.76,5.69,3.51,2027
7234,7234,0.32,Ideal,D,SI1,62.2,56.0,4.37,4.39,2.73,589
9084,9084,1.56,Very Good,I,VS1,61.8,57.0,7.46,7.44,4.6,12028
10920,10920,1.0,Very Good,F,VVS2,62.2,57.0,6.37,6.45,3.99,8004
9623,9623,1.04,Very Good,F,VVS1,62.8,57.0,6.42,6.47,4.05,10439
14333,14333,0.37,Premium,F,VS1,61.9,59.0,4.67,4.63,2.88,841
7120,7120,0.31,Ideal,G,VS2,61.7,56.0,4.38,4.38,2.7,544
8674,8674,0.54,Ideal,D,SI1,61.7,57.0,5.21,5.26,3.22,1579
11508,11508,0.7,Good,E,VVS2,63.4,57.0,5.61,5.64,3.57,3058
12638,12638,0.72,Ideal,D,VS2,62.6,54.0,5.71,5.74,3.58,3140
7434,7434,2.29,Premium,I,SI2,61.6,60.0,8.51,8.47,5.23,16304
6051,6051,0.54,Ideal,G,SI1,61.6,57.0,5.22,5.2,3.21,1247
8976,8976,0.32,Ideal,D,VS2,61.4,56.0,4.4,4.43,2.71,758
7900,7900,0.5,Fair,D,SI1,65.1,58.0,5.01,4.91,3.24,1332
10923,10923,0.4,Premium,I,VVS1,60.7,58.0,4.8,4.74,2.9,1080
7338,7338,1.1,Very Good,G,SI1,63.5,56.0,6.6,6.53,4.17,5428
12022,12022,0.34,Ideal,G,IF,60.7,56.0,4.52,4.56,2.76,863
7682,7682,0.3,Ideal,E,VS1,61.4,56.0,4.33,4.37,2.67,692
14375,14375,0.71,Ideal,F,SI1,61.2,56.0,5.75,5.83,3.54,2447
12887,12887,0.31,Ideal,J,VS1,62.2,54.0,4.35,4.39,2.72,393
5464,5464,0.5,Very Good,I,VVS1,60.0,61.0,5.13,5.2,3.1,1548
12830,12830,1.21,Good,G,VVS2,63.8,58.0,6.84,6.76,4.35,8442
